tokens	absa1	absa2	absa3
['i', 'know', ' ', 'you', 'were', 'too', 'busy', 'showing', 'off', 'your', 'vantage', 'the', 'shirt', 'and', 'looking', 'bored', ' ', 'but', 'my', 'agenda', 'is', 'i', ' ', 'm', 'here', 'to', 'eat', 'and', 'enjoy', 'the', 'company', 'of', 'friends', ' ', 'seeking', 'a', 'pleasant', 'experience']	-1,-1 SERVICE#GENERAL 0 -1,-1	-1,-1 SERVICE#GENERAL 0 -1,-1	
['well', ' ', 'i', 'did', 'n', ' ', 't', 'find', 'it', 'there', ' ', 'and', 'trust', ' ', 'i', 'have', 'told', 'everyone', 'i', 'can', 'think', 'of', 'about', 'my', 'experience']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['the', 'last', 'time', 'i', 'walked', 'by', 'it', 'looked', 'pretty', 'empty', ' ', 'mmm']	-1,-1 RESTAURANT#MISCELLANEOUS 0 9,10		
['i', 'had', 'a', 'great', 'experience']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['food', 'is', 'great']	0,1 FOOD#QUALITY 2 2,3		
['service', 'is', 'top', 'notch']	0,1 SERVICE#GENERAL 2 2,4		
['i', 'have', 'been', 'going', 'back', 'again', 'and', 'again']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['it', 'melted', 'in', 'my', 'little', 'mouth', 'and', 'the', 'perfect', 'consistency', ' ', 'not', 'too', 'fish', ' ', 'creamy', ' ', 'and', 'slightly', 'battery']	-1,-1 FOOD#QUALITY 2 8,10		
['the', 'such', 'seemed', 'pretty', 'fresh', 'and', 'was', 'adequately', 'proportioned']	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#STYLE_OPTIONS 2 8,9	
['the', 'rice', 'to', 'fish', 'ration', 'was', 'also', 'good', '  ', 'they', 'did', 'n', ' ', 't', 'try', 'to', 'overpack', 'the', 'rice']	1,5 FOOD#STYLE_OPTIONS 2 7,8		
['we', 'took', 'advantage', 'of', 'the', 'half', 'price', 'such', 'deal', 'on', 'saturday', 'so', 'it', 'was', 'well', 'worth', 'it']	5,9 FOOD#QUALITY 2 15,16		
['surprisingly', 'nothing', 'could', 'be', 'further', 'from', 'the', 'truth']	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1		
['in', 'the', 'evening', ' ', 'this', 'place', 'attracted', 'a', 'well', 'dressed', ' ', 'with', 'it', ' ', 'ny', 'crowd']	15,16 RESTAURANT#MISCELLANEOUS 2 6,7		
['the', 'food', 'was', 'well', 'prepared', 'and', 'the', 'service', 'implacable']	1,2 FOOD#QUALITY 2 3,5	7,8 SERVICE#GENERAL 2 8,9	
['i', ' ', 'm', 'going', 'back']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['quite', 'simply', 'it', ' ', 's', 'like', 'stepping', 'out', 'of', 'manhattan', 'and', 'into', 'a', 'haven', 'of', 'tranquility']	-1,-1 AMBIENCE#GENERAL 2 15,16		
['i', 'will', 'be', 'going', 'back', 'and', 'heartily', 'recommend', 'it']	-1,-1 RESTAURANT#GENERAL 2 7,8		
['it', 'is', 'terrific', ' ', 'as', 'is', 'the', 'value']	-1,-1 FOOD#QUALITY 2 2,3	-1,-1 FOOD#PRICES 2 2,3	
['i', 'am', 'not', 'a', 'vegetarian', 'but', ' ', 'almost', 'all', 'the', 'dishes', 'were', 'great']	10,11 FOOD#QUALITY 2 12,13		
['go', 'hungry', 'and', 'enjoy']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['the', 'service', 'vary', 'from', 'day', 'to', 'day', ' ', 'sometimes', 'they', ' ', 're', 'very', 'nice', ' ', 'and', 'sometimes', 'not']	1,2 SERVICE#GENERAL 0 2,3		
['the', 'kitchen', 'however', ' ', 'is', 'almost', 'always', 'slow']	1,2 SERVICE#GENERAL 0 7,8		
['if', 'you', ' ', 've', 'ever', 'been', 'along', 'the', 'river', 'in', 'weehawken', 'you', 'have', 'an', 'idea', 'of', 'the', 'top', 'of', 'view', 'the', 'chart', 'house', 'has', 'to', 'offer']	19,20 LOCATION#GENERAL 2 -1,-1		
['add', 'to', 'that', 'great', 'service', 'and', 'great', 'food', 'at', 'a', 'reasonable', 'price', 'and', 'you', 'have', 'yourself', 'the', 'beginning', 'of', 'a', 'great', 'evening']	4,5 SERVICE#GENERAL 2 3,4	7,8 FOOD#QUALITY 2 6,7	7,8 FOOD#PRICES 2 6,7
['the', 'lava', 'cake', 'dessert', 'was', 'incredible', 'and', 'i', 'recommend', 'it']	1,4 FOOD#QUALITY 2 5,6	1,4 FOOD#QUALITY 2 8,9	
['once', 'you', 'step', 'into', 'cette', ' ', 'you', ' ', 're', 'miraculous', 'in', 'a', 'small', ' ', 'off', ' ', 'the', ' ', 'beaten', 'path', 'parisian', 'gastro']	4,5 AMBIENCE#GENERAL 2 14,19		
['this', 'tiny', 'restaurant', 'is', 'as', 'copy', 'as', 'it', 'gets', ' ', 'with', 'that', 'certain', 'parisian', 'flair']	2,3 AMBIENCE#GENERAL 2 1,2	2,3 AMBIENCE#GENERAL 2 5,6	
['the', 'food', 'was', 'average', 'to', 'above', ' ', 'average', ' ', 'the', 'french', 'onion', 'soup', 'filling', 'yet', 'not', 'overlay', 'impressive', ' ', 'and', 'the', 'deserts', 'not', 'brilliant', 'in', 'any', 'way']	1,2 FOOD#QUALITY 2 3,8	10,13 FOOD#QUALITY 1 15,18	21,22 FOOD#QUALITY 0 22,24
['however', ' ', 'go', 'for', 'the', 'absence', ' ', 'and', 'consider', 'the', 'food', 'just', 'a', 'companion', 'for', 'a', 'trip', 'across', 'the', 'world']	5,6 AMBIENCE#GENERAL 0 -1,-1	10,11 FOOD#QUALITY 2 -1,-1	
['the', 'penza', 'was', 'delivered', 'cold', 'and', 'the', 'cheese', 'was', 'n', ' ', 't', 'even', 'fully', 'melted']	1,2 FOOD#QUALITY 0 4,5	7,8 FOOD#QUALITY 0 8,15	
['it', 'looked', 'like', 'shrouded', 'cheese', 'partly', 'done', ' ', 'still', 'in', 'strips']	-1,-1 FOOD#QUALITY 0 -1,-1		
['this', 'has', 'got', 'to', 'be', 'one', 'of', 'the', 'most', 'operated', 'restaurant', 'in', 'brooklyn']	-1,-1 RESTAURANT#GENERAL 0 9,10		
['the', 'penza', 'is', 'overpriced', 'and', 'foggy']	1,2 FOOD#QUALITY 0 5,6	1,2 FOOD#PRICES 0 3,4	
['yes', ' ', 'they', 'use', 'fancy', 'ingredient', ' ', 'but', 'even', 'fancy', 'ingredient', 'do', 'n', ' ', 't', 'make', 'for', 'good', 'penza', 'unless', 'someone', 'knows', 'how', 'to', 'get', 'the', 'crust', 'right']	5,6 FOOD#QUALITY 2 4,5	18,19 FOOD#QUALITY 0 17,18	26,27 FOOD#QUALITY 0 -1,-1
['a', 'big', 'disappointment', ' ', 'all', 'around']	-1,-1 RESTAURANT#GENERAL 0 2,3		
['i', 'think', 'i', ' ', 've', 'had', 'some', 'the', 'best', 'meals', 'of', 'my', 'life', 'at', 'window']	9,10 FOOD#QUALITY 2 8,9		
['the', 'combination', 'of', 'super', ' ', 'fresh', 'ingredient', 'in', 'the', 'dishes', 'are', 'unusual', 'but', 'really', 'delicious']	6,7 FOOD#QUALITY 2 3,6	6,7 FOOD#QUALITY 2 11,12	6,7 FOOD#QUALITY 2 14,15
['worth', 'the', 'trip', 'from', 'manhattan']	-1,-1 RESTAURANT#GENERAL 2 0,1		
['best', 'pastrami', 'i', 'ever', 'had', 'and', 'great', 'portion', 'without', 'being', 'ridiculous']	1,2 FOOD#QUALITY 2 0,1	7,8 FOOD#STYLE_OPTIONS 2 6,7	
['my', 'wife', 'had', 'the', 'fried', 'shrimp', 'which', 'are', 'huge', 'and', 'loved', 'it']	4,6 FOOD#STYLE_OPTIONS 2 8,9	4,6 FOOD#QUALITY 2 10,11	
['as', 'a', 'japanese', 'native', ' ', 'i', ' ', 've', 'lived', 'in', 'the', 'prostate', 'area', 'for', 'over', '8', 'years', ' ', 'but', 'i', 'was', 'just', 'so', 'amazed', 'at', 'this', 'place']	26,27 RESTAURANT#GENERAL 2 23,24		
['this', 'place', 'is', 'the', 'most', 'japanese', 'it', 'can', 'ever', 'get']	1,2 RESTAURANT#MISCELLANEOUS 2 5,6		
['this', 'place', 'is', 'worth', 'an', 'one', ' ', 'hour', 'drive']	1,2 RESTAURANT#GENERAL 2 3,4		
['i', 'am', 'so', 'coming', 'back', 'here', 'again', ' ', 'as', 'much', 'as', 'i', 'can']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['my', 'wife', 'and', 'i', 'always', 'enjoy', 'the', 'young', ' ', 'not', 'always', 'well', 'trained', 'but', 'nevertheless', 'friendly', ' ', 'staff', ' ', 'all', 'of', 'whom', 'have', 'a', 'story']	17,18 SERVICE#GENERAL 2 5,6	17,18 SERVICE#GENERAL 2 15,16	
['decent', 'wine', 'at', 'reasonable', 'prices']	1,2 DRINKS#QUALITY 1 0,1	1,2 DRINKS#PRICES 2 3,4	
['our', 'teenage', 'kiss', 'love', 'it', ' ', 'too']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['everytime', 'i', 'decide', 'to', 'try', 'another', 'place', 'on', 'the', 'yes', ' ', 'i', 'get', 'angry', 'that', 'i', 'did', 'n', ' ', 't', 'just', 'go', 'to', 'zucchero', 'pomodori']	23,25 RESTAURANT#GENERAL 2 -1,-1		
['this', 'is', 'by', 'far', 'my', 'favorite', 'place', 'in', 'the', 'neighborhood']	6,7 RESTAURANT#GENERAL 2 5,6		
['i', ' ', 'm', 'partial', 'to', 'the', 'tocchi']	6,7 RESTAURANT#GENERAL 2 3,4		
['this', 'place', 'is', 'incredibly', 'tiny']	1,2 AMBIENCE#GENERAL 0 4,5		
['they', 'refuse', 'to', 'seat', 'parties', 'of', '3', 'or', 'more', 'on', 'weekend']	-1,-1 SERVICE#GENERAL 0 1,2		
['the', 'hostess', 'is', 'rude', 'to', 'the', 'point', 'of', 'being', 'offensive']	1,2 SERVICE#GENERAL 0 3,4	1,2 SERVICE#GENERAL 0 9,10	
['the', 'food', 'was', 'bland', 'oily']	1,2 FOOD#QUALITY 0 3,5		
['i', 'just', 'do', 'n', ' ', 't', 'understand', 'all', 'the', 'hope', '  ']	-1,-1 RESTAURANT#GENERAL 0 9,10		
['we', 'have', 'been', 'to', 'this', 'place', 'many', 'times', ' ', 'and', 'always', 'have', 'great', 'food', ' ', 'wine', ' ', 'and', 'service']	13,14 FOOD#QUALITY 2 12,13	15,16 DRINKS#QUALITY 2 12,13	18,19 SERVICE#GENERAL 2 12,13
['we', 'were', 'worried', 'we', 'would', 'have', 'trouble', 'getting', 'in', ' ', 'but', 'somehow', 'managed', 'to', 'have', 'a', 'short', 'wait']	17,18 SERVICE#GENERAL 2 16,17		
['as', 'always', 'we', 'had', 'a', 'great', 'glass', 'of', 'wine', 'while', 'we', 'waited']	6,9 DRINKS#QUALITY 2 5,6		
['when', 'we', 'sat', ' ', 'we', 'got', 'great', 'and', 'fast', 'service']	9,10 SERVICE#GENERAL 2 6,7	9,10 SERVICE#GENERAL 2 8,9	
['the', 'people', 'that', 'work', 'there', 'are', 'always', 'so', 'friendly', 'you', 'forget', 'you', 'are', 'in', 'new', 'york', 'sometimes']	1,2 SERVICE#GENERAL 2 8,9		
['this', 'is', 'a', 'fun', 'restaurant', 'to', 'go', 'to']	4,5 RESTAURANT#GENERAL 2 3,4		
['the', 'penza', 'is', 'mummy', 'and', 'i', 'like', 'the', 'atmosphere']	1,2 FOOD#QUALITY 2 3,4	8,9 AMBIENCE#GENERAL 2 6,7	
['but', 'the', 'penza', 'is', 'way', 'to', 'expensive']	2,3 FOOD#PRICES 0 6,7		
['a', 'large', 'is', ' ', '20', ' ', 'and', 'stopping', 'are', 'about', ' ', '3', 'each']	-1,-1 FOOD#PRICES 0 -1,-1	7,8 FOOD#PRICES 0 -1,-1	
['i', 'went', 'there', 'for', 'lunch', 'and', 'it', 'was', 'not', 'as', 'good', 'as', 'i', 'expected', 'from', 'the', 'reviews', 'i', 'read']	4,5 FOOD#QUALITY 0 8,14		
['sauce', 'was', 'watery', 'and', 'the', 'food', 'did', 'n', ' ', 't', 'have', 'much', 'flavor']	0,1 FOOD#QUALITY 0 2,3	5,6 FOOD#QUALITY 0 -1,-1	
['i', 'do', 'n', ' ', 't', 'think', 'i', 'would', 'go', 'again']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['this', 'place', 'is', 'great']	1,2 RESTAURANT#GENERAL 2 3,4		
['the', 'witness', 'was', 'very', 'patient', 'with', 'us', 'and', 'the', 'food', 'is', 'phenomena']	1,2 SERVICE#GENERAL 2 4,5	9,10 FOOD#QUALITY 2 11,12	
['service', 'was', 'prompt', ' ', 'friendly', 'and', 'great']	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5	0,1 SERVICE#GENERAL 2 6,7
['slightly', 'on', 'the', 'prices', 'side', 'but', 'worth', 'it']	-1,-1 RESTAURANT#PRICES 0 3,4	-1,-1 RESTAURANT#GENERAL 2 6,7	
['great', 'penza', 'and', 'fantastic', 'service']	1,2 FOOD#QUALITY 2 0,1	4,5 SERVICE#GENERAL 2 3,4	
['there', 'was', 'a', 'small', 'wait', ' ', 'but', 'shorter', 'than', 'i', 'expected']	4,5 SERVICE#GENERAL 2 3,4	4,5 SERVICE#GENERAL 2 7,8	
['located', 'at', 'the', 'end', 'of', 'a', 'magnificent', 'block']	-1,-1 LOCATION#GENERAL 2 6,7		
['very', 'copy', 'and', 'warm', 'inside', '    ']	-1,-1 AMBIENCE#GENERAL 2 1,2	-1,-1 AMBIENCE#GENERAL 2 3,4	
['i', 'will', 'be', 'back']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['this', 'is', 'the', 'best', 'such', 'in', 'new', 'york', 'city', ' ', 'hands', 'down']	4,5 FOOD#QUALITY 2 3,4		
['the', 'place', 'is', 'small', 'and', 'cramped', 'but', 'the', 'food', 'is', 'fantastic']	1,2 AMBIENCE#GENERAL 0 3,4	1,2 AMBIENCE#GENERAL 0 5,6	8,9 FOOD#QUALITY 2 10,11
['planet', 'thailand', 'has', 'always', 'been', 'a', 'hit', 'with', 'me', ' ', 'i', 'go', 'there', 'usually', 'for', 'the', 'such', ' ', 'which', 'is', 'great', ' ', 'the', 'that', 'food', 'is', 'excellent', 'too']	16,17 FOOD#QUALITY 2 20,21	23,25 FOOD#QUALITY 2 26,27	0,2 RESTAURANT#GENERAL 2 6,7
['with', 'the', 'great', 'variety', 'on', 'the', 'menu', ' ', 'i', 'eat', 'here', 'often', 'and', 'never', 'get', 'bored']	6,7 FOOD#STYLE_OPTIONS 2 2,4		
['the', 'atmosphere', 'is', 'n', ' ', 't', 'the', 'greatest', ' ', 'but', 'i', 'suppose', 'that', ' ', 's', 'how', 'they', 'keep', 'the', 'prices', 'down']	1,2 AMBIENCE#GENERAL 0 2,8	-1,-1 RESTAURANT#PRICES 2 20,21	
['it', ' ', 's', 'all', 'about', 'the', 'food', ' ']	6,7 FOOD#QUALITY 2 -1,-1		
['first', 'it', 'took', 'us', 'a', 'long', 'time', 'to', 'find', 'the', 'place']	10,11 RESTAURANT#MISCELLANEOUS 0 -1,-1		
['but', 'when', 'we', 'looked', 'at', 'the', 'menu', ' ', 'there', 'were', 'n', ' ', 't', 'a', 'lot', 'of', 'choice', ' ', 'most', 'of', 'them', 'were', 'dumping', 'in', 'the', 'appetite', 'section']	6,7 FOOD#STYLE_OPTIONS 0 -1,-1		
['those', 'rolls', 'were', 'big', ' ', 'but', 'not', 'good', 'and', 'sashimi', 'was', 'n', ' ', 't', 'fresh']	1,2 FOOD#STYLE_OPTIONS 1 3,4	1,2 FOOD#QUALITY 0 6,8	9,10 FOOD#QUALITY 0 10,15
['they', 'were', 'dry', 'and', 'disgusting', ' ', 'i', 'did', 'n', ' ', 't', 'even', 'finish', 'my', 'first', 'piece']	-1,-1 FOOD#QUALITY 0 2,3	-1,-1 FOOD#QUALITY 0 4,5	
['hurled', ' ', 's', 'is', 'like', 'cheers', 'where', 'everyone', 'knows', 'your', 'name', 'and', 'they', 'are', 'actually', 'glad', 'you', 'came']	-1,-1 SERVICE#GENERAL 2 15,16		
['try', 'the', 'crutch', 'tune', ' ', 'it', 'is', 'to', 'die', 'for']	2,4 FOOD#QUALITY 2 8,10		
['try', 'everything', 'for', 'that', 'matter', ' ', 'it', 'is', 'all', 'good']	-1,-1 FOOD#QUALITY 2 9,10		
['i', 'have', 'been', 'going', 'there', 'since', 'it', 'opened', 'and', 'i', 'ca', 'n', ' ', 't', 'get', 'enough']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['first', 'went', 'here', 'to', 'enjoy', 'their', 'garden', 'terrace']	6,8 AMBIENCE#GENERAL 2 4,5		
['the', 'speak', 'tartar', 'is', 'a', 'great', 'bet', ' ', 'they', 'fix', 'it', 'for', 'you', 'at', 'the', 'table']	1,3 FOOD#STYLE_OPTIONS 2 5,6		
['admittedly', 'some', 'nights', 'inside', 'the', 'restaurant', 'were', 'rather', 'warm', ' ', 'but', 'the', 'open', 'kitchen', 'is', 'part', 'of', 'the', 'charm']	12,14 AMBIENCE#GENERAL 2 18,19	5,6 AMBIENCE#GENERAL 0 8,9	
['great', 'wine', 'selection', ' ', 'gigondas', 'is', 'worth', 'the', 'price', ' ', 'and', 'the', 'house', 'champagne', 'is', 'a', 'great', 'value']	1,3 DRINKS#STYLE_OPTIONS 2 0,1	4,5 DRINKS#QUALITY 2 6,7	12,14 DRINKS#PRICES 2 16,18
['it', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekend', ' ', 'but', 'the', 'vice', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'french', 'food', 'you', 'will', 'find', 'in', 'the', 'area']	11,12 AMBIENCE#GENERAL 2 13,14	19,21 FOOD#QUALITY 2 18,19	-1,-1 AMBIENCE#GENERAL 1 5,6
['have', 'recommended', 'the', 'place', 'to', 'friends', ' ', 'always', 'gets', 'good', 'response']	3,4 RESTAURANT#MISCELLANEOUS 2 1,2	-1,-1 RESTAURANT#MISCELLANEOUS 2 9,10	
['penza', ' ', 'the', 'only', 'penza', 'in', 'ny', 'that', 'should', 'not', 'have', 'additional', 'stopping', ' ', 'the', 'crust', 'tastes', 'like', 'the', 'best', ' ', 'freshly', 'baked', 'bread']	4,5 FOOD#QUALITY 2 -1,-1	15,16 FOOD#QUALITY 2 19,20	15,16 FOOD#QUALITY 2 21,23
['i', 'take', 'all', 'my', 'ny', 'guests', 'to', 'it', ' ', 's']	7,10 RESTAURANT#MISCELLANEOUS 2 -1,-1		
['not', 'sure', 'where', 'the', 'previous', 'reviewed', ' ', 'long', ' ', 'dined', ' ', 'but', 'saul', 'is', 'in', 'a', 'great', 'neighborhood', 'and', 'has', 'great', 'food']	17,18 LOCATION#GENERAL 2 16,17	21,22 FOOD#QUALITY 2 20,21	
['i', ' ', 've', 'been', 'there', 'three', 'times', 'and', 'have', 'always', 'had', 'wonderful', 'experiences']	-1,-1 RESTAURANT#GENERAL 2 11,12		
['i', ' ', 'd', 'highly', 'recommend', 'it', 'for', 'a', 'special', 'occasion', '  ', 'it', 'provides', 'and', 'intimate', 'setting', 'and', 'nice', 'service']	16,17 AMBIENCE#GENERAL 2 15,16	19,20 SERVICE#GENERAL 2 18,19	-1,-1 RESTAURANT#MISCELLANEOUS 2 4,5
['i', ' ', 'm', 'not', 'sure', 'where', 'the', 'other', 'reviews', 'ate', 'but', 'it', 'seems', 'as', 'if', 'we', 'visited', 'two', 'different', 'restaurant', 'because', 'my', 'friends', 'and', 'i', 'all', 'enjoy', 'mind', 'very', 'much', '   ', 'and', 'we', ' ', 're', 'repeat', 'customers']	27,28 RESTAURANT#GENERAL 2 26,27		
['even', 'after', 'they', 'overcharged', 'me', 'the', 'last', 'time', 'i', 'was', 'there']	-1,-1 SERVICE#GENERAL 0 3,4		
['it', ' ', 's', 'delicious']	-1,-1 FOOD#QUALITY 2 3,4		
['moles', 'were', 'excellent', ' ', 'lobster', 'ravioli', 'was', 'very', 'salt']	0,1 FOOD#QUALITY 2 2,3	4,6 FOOD#QUALITY 0 8,9	
['took', 'my', 'mon', 'for', 'mother', ' ', 's', 'day', ' ', 'and', 'the', 'maitre', 'd', ' ', 'was', 'pretty', 'rude']	11,14 SERVICE#GENERAL 0 16,17		
['told', 'us', 'to', 'sit', 'anywhere', ' ', 'and', 'when', 'we', 'sat', 'he', 'said', 'the', 'table', 'was', 'reserved']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['stepped', 'on', 'my', 'foot', 'on', 'the', 'second', 'time', 'he', 'reached', 'over', 'me', 'to', 'adjust', 'lighting']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['tiny', 'dessert', 'was', ' ', '8', ' ', '00', '   ', 'just', 'plain', 'overpriced', 'for', 'what', 'it', 'is']	1,2 FOOD#STYLE_OPTIONS 0 0,1	1,2 FOOD#QUALITY 0 -1,-1	1,2 FOOD#PRICES 0 12,13
