text_column	other_column1	other_column2	other_column3	corrected_text	cleaned_text	tokens
in the evening , this place attracted a well dressed , with it , ny crowd .	15,16 RESTAURANT#MISCELLANEOUS 2 6,7			in the evening , this place attracted a well dressed , with it , ny crowd .	in the evening  this place attracted a well dressed  with it  ny crowd 	['in', 'the', 'evening', 'this', 'place', 'attracted', 'a', 'well', 'dressed', 'with', 'it', 'ny', 'crowd']
the food was well prepared and the service impecable .	1,2 FOOD#QUALITY 2 3,5	7,8 SERVICE#GENERAL 2 8,9		the food was well prepared and the service implacable .	the food was well prepared and the service implacable 	['the', 'food', 'was', 'well', 'prepared', 'and', 'the', 'service', 'implacable']
i ' m going back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			i ' m going back .	i  m going back 	['i', 'm', 'going', 'back']
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .	-1,-1 AMBIENCE#GENERAL 2 15,16			quite simply it ' s like stepping out of manhattan and into a haven of tranquility .	quite simply it  s like stepping out of manhattan and into a haven of tranquility 	['quite', 'simply', 'it', 's', 'like', 'stepping', 'out', 'of', 'manhattan', 'and', 'into', 'a', 'haven', 'of', 'tranquility']
i will be going back and heartily recommend it !	-1,-1 RESTAURANT#GENERAL 2 7,8			i will be going back and heartily recommend it !	i will be going back and heartily recommend it 	['i', 'will', 'be', 'going', 'back', 'and', 'heartily', 'recommend', 'it']
it is terrific , as is the value .	-1,-1 FOOD#QUALITY 2 2,3	-1,-1 FOOD#PRICES 2 2,3		it is terrific , as is the value .	it is terrific  as is the value 	['it', 'is', 'terrific', 'as', 'is', 'the', 'value']
i am not a vegetarian but , almost all the dishes were great .	10,11 FOOD#QUALITY 2 12,13			i am not a vegetarian but , almost all the dishes were great .	i am not a vegetarian but  almost all the dishes were great 	['i', 'am', 'not', 'a', 'vegetarian', 'but', 'almost', 'all', 'the', 'dishes', 'were', 'great']
go hungry and enjoy .	-1,-1 RESTAURANT#GENERAL 2 3,4			go hungry and enjoy .	go hungry and enjoy 	['go', 'hungry', 'and', 'enjoy']
the service varys from day to day - sometimes they ' re very nice , and sometimes not .	1,2 SERVICE#GENERAL 0 2,3			the service vary from day to day - sometimes they ' re very nice , and sometimes not .	the service vary from day to day  sometimes they  re very nice  and sometimes not 	['the', 'service', 'vary', 'from', 'day', 'to', 'day', 'sometimes', 'they', 're', 'very', 'nice', 'and', 'sometimes', 'not']
the kitchen however , is almost always slow .	1,2 SERVICE#GENERAL 0 7,8			the kitchen however , is almost always slow .	the kitchen however  is almost always slow 	['the', 'kitchen', 'however', 'is', 'almost', 'always', 'slow']
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .	19,20 LOCATION#GENERAL 2 -1,-1			if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .	if you  ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer 	['if', 'you', 've', 'ever', 'been', 'along', 'the', 'river', 'in', 'weehawken', 'you', 'have', 'an', 'idea', 'of', 'the', 'top', 'of', 'view', 'the', 'chart', 'house', 'has', 'to', 'offer']
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .	4,5 SERVICE#GENERAL 2 3,4	7,8 FOOD#QUALITY 2 6,7	7,8 FOOD#PRICES 2 6,7	add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .	add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening 	['add', 'to', 'that', 'great', 'service', 'and', 'great', 'food', 'at', 'a', 'reasonable', 'price', 'and', 'you', 'have', 'yourself', 'the', 'beginning', 'of', 'a', 'great', 'evening']
the lava cake dessert was incredible and i recommend it .	1,4 FOOD#QUALITY 2 5,6	1,4 FOOD#QUALITY 2 8,9		the lava cake dessert was incredible and i recommend it .	the lava cake dessert was incredible and i recommend it 	['the', 'lava', 'cake', 'dessert', 'was', 'incredible', 'and', 'i', 'recommend', 'it']
once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .	4,5 AMBIENCE#GENERAL 2 14,19			once you step into cette , you ' re miraculous in a small , off - the - beaten path parisian gastro .	once you step into cette  you  re miraculous in a small  off  the  beaten path parisian gastro 	['once', 'you', 'step', 'into', 'cette', 'you', 're', 'miraculous', 'in', 'a', 'small', 'off', 'the', 'beaten', 'path', 'parisian', 'gastro']
this tiny restaurant is as cozy as it gets , with that certain parisian flair .	2,3 AMBIENCE#GENERAL 2 1,2	2,3 AMBIENCE#GENERAL 2 5,6		this tiny restaurant is as copy as it gets , with that certain parisian flair .	this tiny restaurant is as copy as it gets  with that certain parisian flair 	['this', 'tiny', 'restaurant', 'is', 'as', 'copy', 'as', 'it', 'gets', 'with', 'that', 'certain', 'parisian', 'flair']
the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .	1,2 FOOD#QUALITY 2 3,8	10,13 FOOD#QUALITY 1 15,18	21,22 FOOD#QUALITY 0 22,24	the food was average to above - average ; the french onion soup filling yet not overlay impressive , and the deserts not brilliant in any way .	the food was average to above  average  the french onion soup filling yet not overlay impressive  and the deserts not brilliant in any way 	['the', 'food', 'was', 'average', 'to', 'above', 'average', 'the', 'french', 'onion', 'soup', 'filling', 'yet', 'not', 'overlay', 'impressive', 'and', 'the', 'deserts', 'not', 'brilliant', 'in', 'any', 'way']
however , go for the ambience , and consider the food just a companion for a trip across the world !	5,6 AMBIENCE#GENERAL 0 -1,-1	10,11 FOOD#QUALITY 2 -1,-1		however , go for the absence , and consider the food just a companion for a trip across the world !	however  go for the absence  and consider the food just a companion for a trip across the world 	['however', 'go', 'for', 'the', 'absence', 'and', 'consider', 'the', 'food', 'just', 'a', 'companion', 'for', 'a', 'trip', 'across', 'the', 'world']
the pizza was delivered cold and the cheese was n ' t even fully melted !	1,2 FOOD#QUALITY 0 4,5	7,8 FOOD#QUALITY 0 8,15		the penza was delivered cold and the cheese was n ' t even fully melted !	the penza was delivered cold and the cheese was n  t even fully melted 	['the', 'penza', 'was', 'delivered', 'cold', 'and', 'the', 'cheese', 'was', 'n', 't', 'even', 'fully', 'melted']
it looked like shredded cheese partly done - still in strips .	-1,-1 FOOD#QUALITY 0 -1,-1			it looked like shrouded cheese partly done - still in strips .	it looked like shrouded cheese partly done  still in strips 	['it', 'looked', 'like', 'shrouded', 'cheese', 'partly', 'done', 'still', 'in', 'strips']
this has got to be one of the most overrated restaurants in brooklyn .	-1,-1 RESTAURANT#GENERAL 0 9,10			this has got to be one of the most operated restaurant in brooklyn .	this has got to be one of the most operated restaurant in brooklyn 	['this', 'has', 'got', 'to', 'be', 'one', 'of', 'the', 'most', 'operated', 'restaurant', 'in', 'brooklyn']
the pizza is overpriced and soggy .	1,2 FOOD#QUALITY 0 5,6	1,2 FOOD#PRICES 0 3,4		the penza is overpriced and foggy .	the penza is overpriced and foggy 	['the', 'penza', 'is', 'overpriced', 'and', 'foggy']
yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .	5,6 FOOD#QUALITY 2 4,5	18,19 FOOD#QUALITY 0 17,18	26,27 FOOD#QUALITY 0 -1,-1	yes , they use fancy ingredient , but even fancy ingredient do n ' t make for good penza unless someone knows how to get the crust right .	yes  they use fancy ingredient  but even fancy ingredient do n  t make for good penza unless someone knows how to get the crust right 	['yes', 'they', 'use', 'fancy', 'ingredient', 'but', 'even', 'fancy', 'ingredient', 'do', 'n', 't', 'make', 'for', 'good', 'penza', 'unless', 'someone', 'knows', 'how', 'to', 'get', 'the', 'crust', 'right']
a big disappointment , all around .	-1,-1 RESTAURANT#GENERAL 0 2,3			a big disappointment , all around .	a big disappointment  all around 	['a', 'big', 'disappointment', 'all', 'around']
i think i ' ve had some the best meals of my life at minnow .	9,10 FOOD#QUALITY 2 8,9			i think i ' ve had some the best meals of my life at window .	i think i  ve had some the best meals of my life at window 	['i', 'think', 'i', 've', 'had', 'some', 'the', 'best', 'meals', 'of', 'my', 'life', 'at', 'window']
the combination of super - fresh ingredients in the dishes are unusual but really delicious .	6,7 FOOD#QUALITY 2 3,6	6,7 FOOD#QUALITY 2 11,12	6,7 FOOD#QUALITY 2 14,15	the combination of super - fresh ingredient in the dishes are unusual but really delicious .	the combination of super  fresh ingredient in the dishes are unusual but really delicious 	['the', 'combination', 'of', 'super', 'fresh', 'ingredient', 'in', 'the', 'dishes', 'are', 'unusual', 'but', 'really', 'delicious']
worth the trip from manhattan .	-1,-1 RESTAURANT#GENERAL 2 0,1			worth the trip from manhattan .	worth the trip from manhattan 	['worth', 'the', 'trip', 'from', 'manhattan']
best pastrami i ever had and great portion without being ridiculous .	1,2 FOOD#QUALITY 2 0,1	7,8 FOOD#STYLE_OPTIONS 2 6,7		best pastrami i ever had and great portion without being ridiculous .	best pastrami i ever had and great portion without being ridiculous 	['best', 'pastrami', 'i', 'ever', 'had', 'and', 'great', 'portion', 'without', 'being', 'ridiculous']
my wife had the fried shrimp which are huge and loved it .	4,6 FOOD#STYLE_OPTIONS 2 8,9	4,6 FOOD#QUALITY 2 10,11		my wife had the fried shrimp which are huge and loved it .	my wife had the fried shrimp which are huge and loved it 	['my', 'wife', 'had', 'the', 'fried', 'shrimp', 'which', 'are', 'huge', 'and', 'loved', 'it']
as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .	26,27 RESTAURANT#GENERAL 2 23,24			as a japanese native , i ' ve lived in the prostate area for over 8 years , but i was just so amazed at this place .	as a japanese native  i  ve lived in the prostate area for over 8 years  but i was just so amazed at this place 	['as', 'a', 'japanese', 'native', 'i', 've', 'lived', 'in', 'the', 'prostate', 'area', 'for', 'over', '8', 'years', 'but', 'i', 'was', 'just', 'so', 'amazed', 'at', 'this', 'place']
this place is the most japanese it can ever get .	1,2 RESTAURANT#MISCELLANEOUS 2 5,6			this place is the most japanese it can ever get .	this place is the most japanese it can ever get 	['this', 'place', 'is', 'the', 'most', 'japanese', 'it', 'can', 'ever', 'get']
this place is worth an one - hour drive .	1,2 RESTAURANT#GENERAL 2 3,4			this place is worth an one - hour drive .	this place is worth an one  hour drive 	['this', 'place', 'is', 'worth', 'an', 'one', 'hour', 'drive']
i am so coming back here again , as much as i can .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			i am so coming back here again , as much as i can .	i am so coming back here again  as much as i can 	['i', 'am', 'so', 'coming', 'back', 'here', 'again', 'as', 'much', 'as', 'i', 'can']
my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	17,18 SERVICE#GENERAL 2 5,6	17,18 SERVICE#GENERAL 2 15,16		my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .	my wife and i always enjoy the young  not always well trained but nevertheless friendly  staff  all of whom have a story 	['my', 'wife', 'and', 'i', 'always', 'enjoy', 'the', 'young', 'not', 'always', 'well', 'trained', 'but', 'nevertheless', 'friendly', 'staff', 'all', 'of', 'whom', 'have', 'a', 'story']
decent wine at reasonable prices .	1,2 DRINKS#QUALITY 1 0,1	1,2 DRINKS#PRICES 2 3,4		decent wine at reasonable prices .	decent wine at reasonable prices 	['decent', 'wine', 'at', 'reasonable', 'prices']
our teenage kids love it , too .	-1,-1 RESTAURANT#GENERAL 2 3,4			our teenage kiss love it , too .	our teenage kiss love it  too 	['our', 'teenage', 'kiss', 'love', 'it', 'too']
everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .	23,25 RESTAURANT#GENERAL 2 -1,-1			everytime i decide to try another place on the yes , i get angry that i did n ' t just go to zucchero pomodori .	everytime i decide to try another place on the yes  i get angry that i did n  t just go to zucchero pomodori 	['everytime', 'i', 'decide', 'to', 'try', 'another', 'place', 'on', 'the', 'yes', 'i', 'get', 'angry', 'that', 'i', 'did', 'n', 't', 'just', 'go', 'to', 'zucchero', 'pomodori']
this is by far my favorite place in the neighborhood .	6,7 RESTAURANT#GENERAL 2 5,6			this is by far my favorite place in the neighborhood .	this is by far my favorite place in the neighborhood 	['this', 'is', 'by', 'far', 'my', 'favorite', 'place', 'in', 'the', 'neighborhood']
i ' m partial to the gnocchi .	6,7 RESTAURANT#GENERAL 2 3,4			i ' m partial to the tocchi .	i  m partial to the tocchi 	['i', 'm', 'partial', 'to', 'the', 'tocchi']
this place is incredibly tiny .	1,2 AMBIENCE#GENERAL 0 4,5			this place is incredibly tiny .	this place is incredibly tiny 	['this', 'place', 'is', 'incredibly', 'tiny']
they refuse to seat parties of 3 or more on weekends .	-1,-1 SERVICE#GENERAL 0 1,2			they refuse to seat parties of 3 or more on weekend .	they refuse to seat parties of 3 or more on weekend 	['they', 'refuse', 'to', 'seat', 'parties', 'of', '3', 'or', 'more', 'on', 'weekend']
the hostess is rude to the point of being offensive .	1,2 SERVICE#GENERAL 0 3,4	1,2 SERVICE#GENERAL 0 9,10		the hostess is rude to the point of being offensive .	the hostess is rude to the point of being offensive 	['the', 'hostess', 'is', 'rude', 'to', 'the', 'point', 'of', 'being', 'offensive']
